<DATE>	<TIME>	<BID>	<ASK>	<LAST>	<VOLUME>	<FLAGS>
2024.02.23	16:46:42.023		1.64765			4
2024.02.23	16:46:42.440		1.64766			4
2024.02.23	16:46:43.371	1.64745	1.64764			6
2024.02.23	16:46:43.584	1.64744	1.64762			6
2024.02.23	16:46:43.919		1.64763			4
2024.02.23	16:46:44.018		1.64764			4
2024.02.23	16:46:44.146		1.64763			4
2024.02.23	16:46:44.514		1.64761			4
2024.02.23	16:46:44.619	1.64740	1.64760			6
2024.02.23	16:46:44.837	1.64739				2
2024.02.23	16:46:44.944	1.64740				2
2024.02.23	16:46:45.045	1.64741				2
2024.02.23	16:46:45.149		1.64762			4
2024.02.23	16:46:45.391		1.64761			4
2024.02.23	16:46:45.815		1.64760			4
2024.02.23	16:46:45.915	1.64740	1.64758			6
2024.02.23	16:46:46.017	1.64739	1.64755			6
2024.02.23	16:46:46.116		1.64757			4
2024.02.23	16:46:46.319		1.64758			4
2024.02.23	16:46:46.914		1.64759			4
2024.02.23	16:46:47.272		1.64755			4
2024.02.23	16:46:47.376	1.64738	1.64756			6
2024.02.23	16:46:47.586		1.64755			4
2024.02.23	16:46:48.325	1.64733	1.64752			6
2024.02.23	16:46:48.427	1.64734				2
2024.02.23	16:46:48.632	1.64733				2
2024.02.23	16:46:48.732	1.64734				2
2024.02.23	16:46:48.946	1.64735				2
2024.02.23	16:46:49.054	1.64734	1.64754			6
2024.02.23	16:46:49.160	1.64737	1.64755			6
2024.02.23	16:46:49.263		1.64754			4
2024.02.23	16:46:49.374	1.64736	1.64755			6
2024.02.23	16:46:49.476		1.64754			4
2024.02.23	16:46:49.681	1.64738				2
2024.02.23	16:46:49.788	1.64737	1.64755			6
2024.02.23	16:46:50.472		1.64754			4
2024.02.23	16:46:51.320		1.64755			4
2024.02.23	16:46:51.438	1.64736	1.64754			6
2024.02.23	16:46:51.564		1.64753			4
2024.02.23	16:46:51.667	1.64737				2
2024.02.23	16:46:51.768		1.64754			4
2024.02.23	16:46:53.662		1.64753			4
2024.02.23	16:46:54.008		1.64754			4
2024.02.23	16:46:54.136	1.64736	1.64753			6
2024.02.23	16:46:54.237	1.64735				2
2024.02.23	16:46:54.542	1.64736				2
2024.02.23	16:46:54.643	1.64735				2
2024.02.23	16:46:54.747	1.64736				2
2024.02.23	16:46:54.982	1.64735				2
2024.02.23	16:46:55.509		1.64748			4
2024.02.23	16:46:55.611	1.64729	1.64747			6
2024.02.23	16:46:55.845		1.64748			4
2024.02.23	16:46:56.169		1.64749			4
2024.02.23	16:46:56.292		1.64748			4
2024.02.23	16:46:56.404	1.64728	1.64747			6
2024.02.23	16:46:57.173	1.64726	1.64743			6
2024.02.23	16:46:57.274	1.64725	1.64744			6
2024.02.23	16:46:57.384	1.64731	1.64749			6
2024.02.23	16:46:57.490	1.64730	1.64748			6
2024.02.23	16:46:57.601		1.64749			4
2024.02.23	16:46:57.816	1.64729	1.64747			6
2024.02.23	16:46:57.917		1.64748			4
2024.02.23	16:46:58.155		1.64749			4
